Gender,Race,Age,VisaStatus,VisaLabel,EducationLevel,EducationLabel,UniversityTier,CS_Degree,YearsExperience,AlgorithmSkill,SystemDesignSkill,NumLanguages,GitHubScore,PastCompanyTier,PastCompanyLabel,EthnicNameSignal,HasReferral,LinkedInScore,InterviewerType,ResumeScore,TechInterviewScore,CultureFitScore,OverallInterviewScore,HireProbability,Hired,TotalBiasEffect
Male,White,32,0,Citizen,2,Master,2,1,0.2,64.1,32.1,2,70.2,4,No Experience,0,0,62.3,1,72.6,51.5,46.1,54.6,0.3636,0,0.27
Female,Black,33,0,Citizen,2,Master,1,1,6.3,25.0,66.8,2,13.9,3,Average Company,1,0,44.6,2,68.4,22.1,39.2,40.5,0.128,1,-0.38
Male,White,34,1,Green Card,4,Self-taught/Bootcamp,4,0,17.8,28.1,80.0,2,18.5,2,Well-known Tech,0,0,72.2,1,83.5,42.2,54.0,57.2,0.6755,1,0.27
Male,White,26,0,Citizen,1,Bachelor,1,1,0.4,27.8,16.8,5,16.2,4,No Experience,0,1,81.1,1,56.9,21.3,65.8,48.0,0.367,1,0.27
Female,Black,39,3,Needs Sponsorship,2,Master,3,0,1.5,46.0,31.9,5,21.7,3,Average Company,1,0,96.7,0,49.1,36.4,48.8,44.5,0.0954,0,-0.68
Female,White,28,0,Citizen,1,Bachelor,3,1,8.7,66.6,56.8,2,13.0,2,Well-known Tech,0,1,96.0,0,100.0,53.8,52.3,64.8,0.7598,1,0.12
Male,White,35,0,Citizen,3,PhD,2,1,10.2,75.4,92.8,4,30.8,2,Well-known Tech,0,1,93.5,2,100.0,76.1,74.4,81.4,0.9306,1,0.27
Female,Black,30,0,Citizen,1,Bachelor,3,1,1.1,56.7,16.3,3,6.2,3,Average Company,0,0,83.7,2,54.3,31.2,45.1,42.6,0.0717,0,-0.38
Male,White,34,0,Citizen,1,Bachelor,2,1,11.3,63.8,70.1,5,35.4,4,No Experience,0,1,19.6,2,100.0,66.8,49.6,68.2,0.7649,0,0.27
Male,White,30,0,Citizen,1,Bachelor,1,1,3.9,37.3,54.3,5,12.3,3,Average Company,0,0,92.1,0,64.4,24.1,66.1,50.9,0.2295,1,0.27
Male,Black,34,0,Citizen,3,PhD,1,1,20.0,95.1,100.0,1,52.9,2,Well-known Tech,1,0,36.4,2,100.0,56.6,71.8,73.5,0.8878,1,-0.03
Male,Asian,31,0,Citizen,1,Bachelor,3,1,0.1,44.6,25.2,3,15.0,4,No Experience,0,0,84.6,0,43.3,40.4,56.0,47.3,0.2206,1,0.2
Male,White,37,0,Citizen,4,Self-taught/Bootcamp,4,1,6.9,63.5,52.5,6,27.1,2,Well-known Tech,0,1,81.1,1,72.9,40.9,69.8,60.4,0.6358,0,0.27
Male,White,26,0,Citizen,1,Bachelor,3,0,0.3,40.9,25.4,4,55.4,4,No Experience,0,0,58.3,2,46.6,35.0,60.7,48.2,0.2225,0,0.27
Male,White,21,0,Citizen,1,Bachelor,1,0,6.0,63.8,58.4,3,60.8,3,Average Company,0,0,74.8,0,72.5,35.4,62.6,55.6,0.4111,0,0.27
Male,White,25,0,Citizen,1,Bachelor,1,1,13.0,80.2,70.4,6,9.0,3,Average Company,0,0,69.5,1,88.5,66.2,86.6,79.9,0.8654,1,0.27
Male,Black,39,0,Citizen,1,Bachelor,3,0,1.8,33.9,48.4,3,14.4,2,Well-known Tech,0,0,69.9,1,52.7,17.3,31.2,31.7,0.1156,0,-0.03
Female,Asian,30,1,Green Card,2,Master,1,1,1.9,50.9,38.0,5,11.8,3,Average Company,1,1,71.0,2,60.3,43.4,43.6,47.7,0.2772,0,0.05
Male,Asian,32,0,Citizen,2,Master,2,1,1.2,35.3,31.9,4,12.4,3,Average Company,0,0,89.3,1,59.9,19.2,45.5,39.9,0.1958,0,0.2
Male,White,24,0,Citizen,1,Bachelor,3,0,2.5,78.9,19.2,4,57.8,3,Average Company,0,1,92.7,1,71.2,35.7,78.0,61.5,0.4932,1,0.27
Female,White,32,0,Citizen,1,Bachelor,3,1,2.9,42.5,64.3,6,64.8,4,No Experience,0,1,49.8,2,58.2,54.5,47.2,52.5,0.3473,0,0.12
Male,Black,24,0,Citizen,1,Bachelor,3,1,3.8,44.2,24.8,1,32.4,3,Average Company,0,1,89.2,1,57.6,21.8,42.0,38.8,0.1618,1,-0.03
Male,White,25,0,Citizen,1,Bachelor,2,1,5.2,45.3,28.3,4,63.8,2,Well-known Tech,0,1,42.7,0,73.2,29.2,75.8,58.9,0.6064,1,0.27
Male,Asian,29,0,Citizen,2,Master,3,1,4.3,46.0,21.9,2,50.4,3,Average Company,1,1,55.3,1,73.9,25.0,71.2,55.7,0.4262,0,0.2
Male,Asian,35,2,H1B,2,Master,2,1,0.5,70.3,40.2,4,7.3,4,No Experience,0,0,68.8,1,70.5,39.2,63.9,56.9,0.2787,0,0.12
Female,Hispanic,35,0,Citizen,1,Bachelor,2,1,4.5,53.5,36.3,3,41.9,3,Average Company,1,1,53.8,1,61.0,25.6,62.3,49.1,0.3282,1,-0.24
Female,White,36,0,Citizen,2,Master,2,1,1.0,51.7,59.6,1,26.6,4,No Experience,0,1,67.3,1,83.9,44.5,50.9,56.9,0.3689,0,0.12
Male,White,21,0,Citizen,2,Master,3,0,3.4,29.5,34.1,6,47.9,3,Average Company,0,1,66.4,0,54.9,35.5,58.2,49.4,0.4289,0,0.27
Female,Asian,31,3,Needs Sponsorship,1,Bachelor,2,1,4.0,56.8,40.9,5,68.4,3,Average Company,0,0,52.9,1,59.1,34.7,55.6,49.2,0.1782,1,-0.25
Female,Asian,30,2,H1B,2,Master,2,1,2.6,43.9,27.7,3,70.5,3,Average Company,0,0,72.5,2,56.9,28.2,46.7,42.8,0.1927,1,-0.03
Male,Asian,21,3,Needs Sponsorship,4,Self-taught/Bootcamp,4,1,2.4,47.8,51.7,2,23.4,4,No Experience,0,0,72.4,1,53.9,40.1,63.5,52.9,0.2311,0,-0.1
Female,White,32,2,H1B,1,Bachelor,2,1,2.5,45.7,13.5,4,18.4,3,Average Company,0,0,65.7,1,68.3,31.9,49.6,48.1,0.1904,0,0.04
Male,Black,30,3,Needs Sponsorship,2,Master,3,0,1.2,69.2,29.5,5,61.9,1,FAANG,0,1,75.9,2,74.5,35.3,55.9,53.4,0.3753,1,-0.33
Female,Black,35,0,Citizen,2,Master,3,1,7.3,74.7,36.4,6,19.7,3,Average Company,1,0,79.2,0,79.4,46.3,52.5,57.1,0.3649,1,-0.38
Female,White,32,0,Citizen,2,Master,3,1,3.0,72.6,43.8,6,53.3,3,Average Company,0,1,87.7,1,87.0,54.3,40.3,56.9,0.447,0,0.12
Male,Black,28,0,Citizen,2,Master,3,1,3.2,36.8,29.0,6,27.0,3,Average Company,0,1,37.0,2,81.4,19.0,36.8,41.7,0.2281,0,-0.03
Male,Black,38,0,Citizen,2,Master,3,1,0.9,67.0,32.3,2,52.0,4,No Experience,1,0,81.2,1,48.6,43.4,51.1,47.8,0.1982,0,-0.03
Male,White,21,0,Citizen,1,Bachelor,1,1,2.9,60.6,34.1,2,21.0,2,Well-known Tech,0,1,86.3,1,79.0,38.2,68.0,60.3,0.4992,1,0.27
Male,White,31,0,Citizen,4,Self-taught/Bootcamp,4,0,2.6,47.2,38.9,2,19.5,3,Average Company,0,1,71.8,0,34.4,44.4,63.1,49.4,0.357,0,0.27
Female,Black,21,0,Citizen,2,Master,3,1,2.4,51.7,27.2,4,62.6,2,Well-known Tech,1,0,73.2,1,77.5,45.7,61.7,60.0,0.3341,0,-0.38
Female,White,25,2,H1B,2,Master,3,1,2.7,61.9,37.3,5,55.8,3,Average Company,0,0,75.9,2,60.8,38.8,60.6,53.0,0.3309,0,0.04
Male,Asian,35,2,H1B,1,Bachelor,3,1,1.3,34.1,14.5,1,15.8,2,Well-known Tech,1,0,76.2,1,55.1,15.4,67.1,46.0,0.2315,0,0.12
Male,White,23,0,Citizen,2,Master,3,1,7.1,70.5,48.5,6,11.4,3,Average Company,0,1,63.9,0,75.6,63.1,65.2,67.0,0.7236,1,0.27
Male,White,22,2,H1B,2,Master,2,0,1.0,54.0,31.0,1,43.5,4,No Experience,0,0,40.2,0,49.0,37.8,54.5,47.3,0.307,0,0.19
Male,Hispanic,48,0,Citizen,1,Bachelor,3,1,3.5,67.8,39.8,3,30.9,2,Well-known Tech,1,0,60.6,1,67.2,45.6,61.0,57.2,0.3833,1,-0.09
Male,Hispanic,22,2,H1B,3,PhD,3,1,1.8,59.2,35.3,2,50.0,4,No Experience,0,0,61.6,2,83.2,37.0,48.9,53.3,0.3045,0,-0.05
Male,White,43,1,Green Card,1,Bachelor,2,0,5.7,27.0,42.9,5,28.7,2,Well-known Tech,0,1,57.0,1,71.0,33.6,63.6,54.9,0.5347,0,0.27
Female,Asian,30,2,H1B,2,Master,2,0,5.3,52.0,56.8,4,31.6,2,Well-known Tech,1,1,41.3,2,68.1,43.7,34.7,46.2,0.392,1,-0.03
Male,White,28,0,Citizen,1,Bachelor,3,1,5.4,82.0,43.0,4,47.9,3,Average Company,0,1,92.3,1,68.6,32.7,61.2,53.1,0.3987,1,0.27
Male,White,35,0,Citizen,2,Master,3,0,9.7,60.7,49.4,2,11.5,2,Well-known Tech,0,0,63.3,1,79.7,23.7,67.9,55.4,0.6237,0,0.27
Female,White,41,0,Citizen,1,Bachelor,3,1,6.8,56.9,47.3,4,33.8,2,Well-known Tech,0,0,87.8,2,59.8,40.4,66.8,55.8,0.2722,0,-0.03
Male,White,23,0,Citizen,2,Master,3,0,1.8,61.5,49.2,5,26.0,3,Average Company,0,1,57.8,2,66.9,41.0,70.5,59.3,0.5342,1,0.27
Female,Asian,28,2,H1B,3,PhD,2,0,2.3,32.5,52.5,5,15.6,2,Well-known Tech,0,1,49.7,0,79.3,27.9,52.5,50.6,0.499,1,-0.03
Female,Asian,37,0,Citizen,2,Master,2,0,9.1,67.7,59.3,2,45.8,2,Well-known Tech,0,1,70.9,1,100.0,58.0,39.1,60.9,0.7024,1,0.05
Male,Hispanic,34,0,Citizen,1,Bachelor,3,1,7.8,45.1,79.7,3,34.0,3,Average Company,1,1,87.2,1,67.4,44.1,62.1,57.1,0.4958,1,0.03
Male,Asian,39,2,H1B,1,Bachelor,3,1,11.4,73.7,54.1,3,56.8,1,FAANG,0,0,85.5,0,90.4,77.7,80.7,82.1,0.8886,1,0.12
Male,White,35,0,Citizen,2,Master,2,0,8.2,39.1,59.5,7,40.4,3,Average Company,0,1,91.7,2,68.2,10.0,64.6,46.4,0.4502,1,0.27
Male,Asian,44,3,Needs Sponsorship,1,Bachelor,3,0,0.6,42.5,12.0,3,49.7,4,No Experience,1,1,89.1,2,38.2,7.1,57.1,34.9,0.127,0,-0.1
Male,Hispanic,33,0,Citizen,1,Bachelor,2,1,1.8,82.1,20.8,4,55.6,2,Well-known Tech,1,1,44.9,1,56.7,51.5,53.1,53.5,0.4084,1,0.03
Male,Asian,33,1,Green Card,1,Bachelor,2,1,1.6,53.1,55.4,2,51.3,3,Average Company,1,0,27.7,1,46.9,70.6,52.2,57.3,0.3838,0,0.2
Male,Asian,34,0,Citizen,1,Bachelor,3,1,2.1,57.6,39.1,4,45.0,2,Well-known Tech,1,0,73.9,0,63.8,45.4,85.5,66.0,0.6278,1,0.2
Male,Hispanic,31,0,Citizen,1,Bachelor,3,0,1.6,51.9,44.8,3,60.8,3,Average Company,1,0,61.3,2,38.6,59.7,56.7,53.2,0.192,0,0.03
Male,White,37,0,Citizen,2,Master,2,0,6.9,86.2,54.6,2,7.4,3,Average Company,0,1,69.8,1,74.0,66.1,42.9,58.8,0.6036,0,0.27
Female,Asian,33,0,Citizen,1,Bachelor,3,1,5.4,62.9,47.9,7,23.7,2,Well-known Tech,1,0,79.2,1,54.4,44.2,50.4,49.2,0.2797,0,0.05
Male,Asian,37,0,Citizen,1,Bachelor,3,1,1.0,49.2,53.3,4,62.7,4,No Experience,1,0,53.8,1,49.6,33.6,64.4,49.9,0.2645,1,0.2
